Bucty,Tree,http://i.imgur.com/szbSDE3.jpg
Polinies,Book,http://i.imgur.com/eMqTs0z.jpg?1
Crudle,Apple,http://i.imgur.com/JCId7kP.jpg
Kapole,Shoe,http://i.imgur.com/tRypoOa.jpg
Pona,Telephone,http://i.imgur.com/hOnWYKn.jpg
Tatering,Running,http://keepitoff.org/wp-content/uploads/2015/07/Jenny_Running.jpg
Grepping,Crying,http://api.ning.com/files/kV4MbYiv7oQbMxQFRtRLwjY9wpa9yzN231bTm-1un4ST4aPaa234fu1YtvrvngtDXpj7qM0dNDU*Ya8AdqbSL818O9R05lKH/1082040758.jpeg
Mepping,Crying,http://www.hdwallpapersnew.net/wp-content/uploads/2015/10/climbing-wide-high-definition-for-desktop-background-photos-full-free.jpg
Rebt,Angry,https://tamlynamberryan.files.wordpress.com/2015/07/how-to-control-anger-postiveattitudematters-com.jpg
Klose,Cute,https://pbs.twimg.com/profile_images/497043545505947648/ESngUXG0.jpeg
